"cditinerariolocalidade","cdlinhaitinerario","cdlinhalocalidade","nusecao","nuordem","flacesso"
1,1,1031,1,,true
2,1,800,2,,true
3,1,1888,3,,true
4,1,1568,4,,true
5,1,236,5,,true
6,1,744,6,,true
7,1,1504,7,,true
8,1,718,8,,true
9,1,1330,9,,true
10,2,1946,1,,true
11,2,1880,2,,true
12,2,1309,3,,true
13,2,1065,4,,true
14,2,980,5,,true
15,2,343,6,,true
16,2,9,7,,true
17,2,1360,8,,true
18,2,482,9,,true
19,2,1912,10,,true
20,2,1927,11,,true
21,2,1359,12,,true
22,2,1928,13,,true
23,3,260,1,,true
24,3,668,2,,true
25,3,582,3,,true
26,3,754,4,,true
27,3,1307,5,,true
28,3,678,6,,true
29,3,590,7,,true
30,3,642,8,,true
31,3,1946,9,,true
32,3,1880,10,,true
33,3,1309,11,,true
34,3,1065,12,,true
35,3,980,13,,true
36,3,343,14,,true
37,3,9,15,,true
38,3,1360,16,,true
39,3,482,17,,true
40,3,1912,18,,true
41,3,1927,19,,true
42,3,1359,20,,true
43,3,1928,21,,true
44,4,1013,1,,true
45,4,1927,2,,true
46,4,925,3,,true
47,4,1892,4,,true
48,4,806,5,,true
49,4,1752,6,,true
50,4,612,7,,true
51,4,487,8,,true
52,4,605,9,,true
53,4,448,10,,true
54,4,1879,11,,true
55,4,896,12,,true
56,5,1089,1,,true
57,5,1097,2,,true
58,5,999,3,,true
59,5,214,4,,true
60,5,1928,5,,true
61,5,1359,6,,true
62,5,1927,7,,true
63,6,1116,1,,true
64,6,1384,2,,true
65,6,1327,3,,true
66,6,399,4,,true
67,6,1569,5,,true
68,6,1175,6,,true
69,6,221,7,,true
70,6,1847,8,,true
71,6,380,9,,true
72,6,1572,10,,true
73,6,347,11,,true
74,7,1712,1,,true
75,7,857,2,,true
76,7,612,3,,true
77,7,765,4,,true
78,7,1892,5,,true
79,7,925,6,,true
80,8,1712,1,,true
81,8,1744,2,,true
82,8,312,3,,true
83,8,1298,4,,true
84,8,937,5,,true
85,8,612,6,,true
86,8,1805,7,,true
87,8,450,8,,true
88,8,1752,9,,true
89,8,806,10,,true
90,8,1946,11,,true
91,8,1880,12,,true
92,8,1309,13,,true
93,8,324,14,,true
94,9,1013,1,,true
95,9,1063,2,,true
96,9,1034,3,,true
97,9,2000,4,,true
98,9,65,5,,true
99,9,83,6,,true
100,9,294,7,,true
101,9,412,8,,true
102,9,968,9,,true
103,9,317,10,,true
104,9,977,11,,true
105,9,1600,12,,true
106,9,262,13,,true
107,10,1013,1,,true
108,10,1063,2,,true
109,10,1034,3,,true
110,10,2000,4,,true
111,10,968,5,,true
112,10,317,6,,true
113,10,977,7,,true
114,10,1600,8,,true
115,10,262,9,,true
116,11,1013,1,,true
117,11,1063,2,,true
118,11,1034,3,,true
119,11,2000,4,,true
120,11,65,5,,true
121,11,83,6,,true
122,11,294,7,,true
123,11,412,8,,true
124,11,968,9,,true
125,11,317,10,,true
126,11,977,11,,true
127,11,1600,12,,true
128,11,262,13,,true
129,11,861,14,,true
130,11,1839,15,,true
131,11,636,16,,true
132,11,923,17,,true
133,11,853,18,,true
134,11,973,19,,true
135,12,1712,1,,true
136,12,857,2,,true
137,12,487,3,,true
138,12,1752,4,,true
139,12,925,5,,true
140,12,1927,6,,true
141,12,1013,7,,true
142,12,588,8,,true
143,12,340,9,,true
144,12,882,10,,true
145,12,1011,11,,true
146,12,1031,12,,true
147,12,1888,13,,true
148,12,1252,14,,true
149,12,1040,15,,true
150,13,1712,1,,true
151,13,857,2,,true
152,13,925,3,,true
153,13,1013,4,,true
154,13,588,5,,true
155,13,340,6,,true
156,13,882,7,,true
157,13,1011,8,,true
158,13,1031,9,,true
159,13,1888,10,,true
160,13,1252,11,,true
161,13,1040,12,,true
