"cdlinha","cdlinhapai","nulinha","deorigem","dedestino","dedescricao","slic","nupermissionarios","delinhaoutorga","delinhaservico","declassificacaoveiculo","derazaosocial","decnpjmatriz","boativo"
192,,"082A.CAR",SALVADOR,SERROLÂNDIA,"082A.CAR - SALVADOR - SERROLÂNDIA VIA MAIRI",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
482,,"208",VITÓRIA DA CONQUISTA,CALDEIRÃO,"208 - VITÓRIA DA CONQUISTA - CALDEIRÃO",,,CONTRATO DE CONCESSÃO - TAC,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1247,,"592",BARREIRAS,XIQUE-XIQUE,"592 - BARREIRAS - XIQUE-XIQUE",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EMTRAM EMPRESA DE TRANSPORTES MACAUBENSE LTDA,"16041592000120",true
431,,"192.DCO",SALVADOR,ITABUNA,"192.DCO - SALVADOR - ITABUNA VIA BR101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,DIFERENCIADO CONJUGADO,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
1433,,"746",IRECÊ,HIDROLÂNDIA,"746 - IRECÊ - HIDROLÂNDIA VIA UIBAÍ/PRESIDENTE DUTRA",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,GEIBSON DEAN TEIXEIRA CARVALHO,"12819654000120",true
729,,"309.EXE",SALVADOR,IRARÁ,"309.EXE - SALVADOR - IRARÁ VIA CORAÇÃO DE MARIA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
709,,"298",SALVADOR,MURITIBA,"298 - SALVADOR - MURITIBA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIACAO JAUA LTDA,"01767998000117",true
1300,,"612",SALVADOR,EUNÁPOLIS,"612 - SALVADOR - EUNÁPOLIS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
1118,,"534",IPUPIARA,IBOTIRAMA,"534 - IPUPIARA - IBOTIRAMA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1072,,"510",SALVADOR,MORRO DO CHAPÉU,"510 - SALVADOR - MORRO DO CHAPÉU VIA IPIRÁ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1645,,"876.URB",SIMÕES FILHO,AREIA BRANCA,"876.URB - SIMÕES FILHO - AREIA BRANCA VIA CEASA",,,CONTRATO EMERGENCIAL,CONTRATADO,SEMIURBANO,CONFORTRANS TRANSPORTES EIRELI,"18506518000167",true
160,,"073.LEX",SALVADOR,JUAZEIRO,"073.LEX - SALVADOR - JUAZEIRO VIA CAPIM GROSSO",,,CONTRATO DE CONCESSÃO,DIFERENCIADO,LEITO EXECUTIVO,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
404,,"179.URB",ITABUNA,BARRO PRETO,"179.URB - ITABUNA - BARRO PRETO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,SEMIURBANO,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
199,,"085",SALVADOR,FEIRA DE SANTANA,"085 - SALVADOR - FEIRA DE SANTANA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
489,,"212R",VITÓRIA DA CONQUISTA,POÇÕES,"212R - VITÓRIA DA CONQUISTA - POÇÕES",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIACAO SALUTARIS E TURISMO S/A,"32285454000142",true
535,,"229",SERRINHA,LAMARÃO,"229 - SERRINHA - LAMARÃO",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,PLENNA TRANSPORTES E SERVIÇOS LTDA,"16496572000143",true
1246,,"591A",SEABRA,ABAÍRA,"591A - SEABRA - ABAÍRA VIA PIATÃ",,,TERMO DE PERMISSÃO,ADICIONAL,COMERCIAL,EMTRAM EMPRESA DE TRANSPORTES MACAUBENSE LTDA,"16041592000120",true
394,,"172A.EXE",ITACARÉ,VITÓRIA DA CONQUISTA,"172A.EXE - ITACARÉ - VITÓRIA DA CONQUISTA VIA ITAPETINGA",,,CONTRATO DE CONCESSÃO - TAC,DIFERENCIADO,EXECUTIVO,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
101,,"050.UMIC",CANDEIAS,SÃO SEBASTIÃO DO PASSÉ,"050.UMIC - CANDEIAS - SÃO SEBASTIÃO DO PASSÉ",,,AUTORIZAÇÃO,DIFERENCIADO,MICRO COMERCIAL,CASTTUR AGÊNCIA OPERADORA DE TURISMO E TRANSPORTES LTDA,"07405588000102",true
889,,"402",JEQUIÉ,VALENÇA,"402 - JEQUIÉ - VALENÇA VIA JAGUAQUARA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
321,,"138A",SALVADOR,IMBASSAÍ,"138A - SALVADOR - IMBASSAÍ",,,CONTRATO EMERGENCIAL,CONTRATADO,COMERCIAL,ATLANTICO TRANSPORTES LTDA,"08380889000191",true
643,,"264",SALVADOR, JUAZEIRO,"264 - SALVADOR - JUAZEIRO VIA BR116",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1282,,"602XE",PORTO SEGURO,VITÓRIA DA CONQUISTA,"602XE - PORTO SEGURO - VITÓRIA DA CONQUISTA VIA BA670",,,CONTRATO DE CONCESSÃO - TAC,ADICIONAL,COMERCIAL,EXPRESSO BRASILEIRO TRANSPORTES LTDA,"13406285000107",true
274,,"112X2",JEQUIÉ,CAMPINHO,"112X2 - JEQUIÉ - CAMPINHO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
175,,"076",SALVADOR,SENHOR DO BONFIM,"076 - SALVADOR - SENHOR DO BONFIM",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1818,,"2033",LAFAYETE COUTINHO,JEQUIÉ,"2033 - LAFAYETE COUTINHO - JEQUIÉ",true,5,TERMO DE PERMISSÃO,CONTRATADO,MICRO COMERCIAL,,,true
1407,,"704",SALVADOR,ITANAGRA,"704 - SALVADOR - ITANAGRA VIA ARAÇÁS",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,JOSE AGUINELO DE SANTANA FILHO  - EIRELI,"00792706000133",true
1184,,"562E",JEQUIÉ,MARACÁS,"562E - JEQUIÉ - MARACÁS VIA ITIRUÇU",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
732,,"310R",ITIÚBA,SENHOR DO BONFIM,"310R - ITIÚBA - SENHOR DO BONFIM",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,MATHEUS SERRAVALLE & CIA LTDA,"73586232000147",true
1000,,"466A",BARREIRAS,BURITIRAMA,"466A - BARREIRAS - BURITIRAMA VIA SÃO JOSÉ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EMTRAM EMPRESA DE TRANSPORTES MACAUBENSE LTDA,"16041592000120",true
766,,"328.EXE",SALVADOR,IRECÊ,"328.EXE - SALVADOR - IRECÊ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1813,,"2027",BARREIRAS,CRISTÓPOLIS,"2027 - BARREIRAS - CRISTÓPOLIS",true,2,TERMO DE PERMISSÃO,CONTRATADO,MICRO COMERCIAL,,,true
1898,,"2059",BARREIRAS,CADETE (POV WANDERLEY) ,"2059 - BARREIRAS - CADETE (POV WANDERLEY) VIA WANDERLEY",true,1,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
15,,"010A",ITABUNA,IBOTIRAMA,"010A - ITABUNA - IBOTIRAMA VIA SÍTIO DO MATO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1559,,"844.URB",CAMAÇARI,NOVA DIAS D'ÁVILA,"844.URB - CAMAÇARI - NOVA DIAS D'ÁVILA VIA BA093",,,CONTRATO DE CONCESSÃO,CONTRATADO,SEMIURBANO,UNIVALE TRANSPORTES LTDA,"65107971000180",true
329,,"145",SALVADOR,SEABRA,"145 - SALVADOR - SEABRA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,RAPIDO FEDERAL VIACAO LIMITADA,"25634569000130",true
1888,,"922.URB",LAURO DE FREITAS,TERMINAL PITUAÇU,"922.URB - LAURO DE FREITAS - TERMINAL PITUAÇU VIA AV ORLANDO GOMES E AV PARALELA",,,CONTRATO DE CONCESSÃO,CONTRATADO,SEMIURBANO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
478,,"207A",VARGITO,GUANAMBI,"207A - VARGITO - GUANAMBI VIA ITAPETINGA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIACAO SALUTARIS E TURISMO S/A,"32285454000142",true
375,,"165",SALVADOR,CASTRO ALVES,"165 - SALVADOR - CASTRO ALVES  VIA BR 101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
1062,,"503.CAR",SALVADOR,CAFARNAUM,"503.CAR - SALVADOR - CAFARNAUM",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
280,,"115A.CAR",SALVADOR,IPIAÚ,"115A.CAR - SALVADOR - IPIAÚ VIA BR101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
1841,,"2158",JUAZEIRO,SANTANA DO SOBRADO (DIST CASA NOVA),"2158 - JUAZEIRO - SANTANA DO SOBRADO (DIST CASA NOVA)",true,21,TERMO DE PERMISSÃO,CONTRATADO,MICRO COMERCIAL,,,true
737,,"314",SALVADOR,QUEIMADAS,"314 - SALVADOR - QUEIMADAS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EXPRESSO SÃO MATHEUS LTDA,"14671572000107",true
1509,,"819I2.URB",SIMÕES FILHO,TERMINAL MUSSURUNGA,"819I2.URB - SIMÕES FILHO - TERMINAL MUSSURUNGA",,,CONTRATO DE CONCESSÃO,ADICIONAL,SEMIURBANO,EXPRESSO METROPOLITANO TRANSPORTES LTDA,"07617476000115",true
1354,,"645I.CAR",BOM DESPACHO,ITABUNA,"645I.CAR - BOM DESPACHO - ITABUNA VIA BA001 / ITACARÉ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
121,,"056",SALVADOR,IPIAÚ,"056 - SALVADOR - IPIAÚ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
1872,,"2295",SEABRA,GUINÉ (DIST DE MUCUGÊ),"2295 - SEABRA - GUINÉ (DIST DE MUCUGÊ)",true,1,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
1102,,"527",SALVADOR,CANARANA,"527 - SALVADOR - CANARANA VIA IPIRÁ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1686,,"889.URB",NOVA DIAS D'ÁVILA,ITAPUÃ,"889.URB - NOVA DIAS D'ÁVILA - ITAPUÃ VIA BA099/ AEROPORTO",,,CONTRATO DE CONCESSÃO,CONTRATADO,SEMIURBANO,UNIVALE TRANSPORTES LTDA,"65107971000180",true
