"cdlinhalocalidade","denome"
1,ABAÍRA
2,ABARÉ
3,ABÓBORA (FAZ CAETANOS)
4,ACAJUTIBA
5,ACAMPAMENTO 40/45 (POV ALCOBAÇA)
6,ACAMPAMENTO 45 (POV ALCOBAÇA)
7,ACARACI (POV DÁRIO MEIRA)
8,ACARACI (POV ITAGIBÁ)
9,ACARAÍ (POV CAMAMU)
10,ACARU (ABARÉ)
11,ACESSO À FÁBRICA FORD (CAMAÇARI)
12,ACESSO CAMAÇARI / BA512
13,AÇU DA TORRE / MALHADA (DIST MATA DE SÃO JOÃO)
14,AÇUDINA (DIST SANTA MARIA DA VITÓRIA)
15,ACUÍPE (POV ILHÉUS)
16,ACUPE (DIST SANTO AMARO)
17,ADUSTINA
18,AGROVILA I (SERRA DO RAMALHO)
19,AGROVILA III (SERRA DO RAMALHO)
20,AGROVILA IV (SERRA DO RAMALHO)
21,AGROVILA IX (SERRA DO RAMALHO)
22,AGROVILA V (SERRA DO RAMALHO)
23,AGROVILA VI (SERRA DO RAMALHO)
24,AGROVILA VII (SERRA DO RAMALHO)
25,AGROVILA VIII (SERRA DO RAMALHO)
26,AGROVILA X (SERRA DO RAMALHO)
27,AGROVILA XI (SERRA DO RAMALHO)
28,AGROVILA XII (SERRA DO RAMALHO)
29,AGROVILA XIII (SERRA DO RAMALHO)
30,AGROVILA XIV (SERRA DO RAMALHO)
31,AGROVILA XV (CARINHANHA)
32,AGROVILA XVI (CARINHANHA)
33,ÁGUA BELA (DIST POÇÕES)
34,ÁGUA BRANCA (POV JEREMOABO)
35,ÁGUA DOCE (POV CRISTÓPOLIS)
36,ÁGUA FRIA
37,ÁGUA LIMPA (POV JUCURUÇU)
38,ÁGUA QUENTE (POV GENTIO DO OURO)
39,AGUADA NOVA (POV LAPÃO)
40,AIQUARA
41,ALAGADIÇO (FAZ IRAMAIA)
42,ALAGOAS (POV ITABERABA)
43,ALAGOINHA (POV ANGICAL)
44,ALAGOINHAS
45,ALCOBAÇA
46,ALEGRE (POV ITAGUAÇU DA BAHIA)
47,ALGODÃO (BRUMADO)
48,ALGODÃO (DIST IBIRATAIA)
49,ALGODÃO (FAZ VITÓRIA DA CONQUISTA)
50,ALGODÕES (POV QUIJINGUE)
51,ALGODÕES (POV SENTO SÉ)
52,ALMADINA
53,ALMAS (POV CONCEIÇÃO DO COITÉ)
54,ALSIBÍADES (TEIXEIRA DE FREITAS)
55,ALTAMIRA (POV CONDE)
56,ALTO VERMELHO (POV ITABERABA)
57,ALVORADA (FAZ ITAJU DO COLÔNIA)
58,AMADO BAHIA (DIST MATA DE SÃO JOÃO)
59,AMARALINA (SALVADOR)
60,AMARGOSA
61,AMÉLIA RODRIGUES
62,AMÉRICA DOURADA
63,AMIANTO (FAZ BOM JESUS DA SERRA)
64,AMPARO (POV BOA VISTA DO TUPIM)
65,ANAGÉ
66,ANDARAÍ
67,ANDARAÍ (POV PIRITIBA)
68,ANDORINHA
69,ANGICAL
70,ANGICO (DIST MAIRI)
71,ANGICO (TUCANO)
72,ANGUERA
73,ANTARI (POV BARRA DO MENDES)
74,ANTAS
75,ANTÔNIO CARDOSO
76,ANTÔNIO DE PAULA (PRADO)
77,ANTÔNIO GONÇALVES
78,ANURI (DIST ARATACA)
79,APARAJU (POV ALCOBAÇA)
80,APORÁ
81,APUAREMA
82,ARAÇÁS
83,ARACATU
84,ARACI
85,ARACI (POV BROTAS DE MACAÚBAS)
86,ARAGUAIA (FAZ CAFARNAUM)
87,ARAMARI
88,ARAPIRANGA (DIST RIO DE CONTAS)
89,ARAPOÃ (FAZ ANAGÉ)
90,ARATACA
91,ARATU (SIMÕES FILHO)
92,ARATUÍPE
94,AREIA BRANCA (LAURO DE FREITAS)
95,AREIA BRANCA (POV ITABUNA)
96,AREIAS (CAMAÇARI)
97,AREMBEPE (DIST CAMAÇARI)
98,ARGOIM (DIST RAFAEL JAMBEIRO)
99,AROEIRA (DIST CONCEIÇÃO DO COITÉ)
100,AROEIRA (POV CONCEIÇÃO DO COITÉ)
101,AROEIRA (POV LAPÃO)
102,ARRAIAL D AJUDA (DIST PORTO SEGURO)
103,ARRECIFE (POV LIVRAMENTO DE NOSSA SENHORA)
104,ARUEIRA (EUCLIDES DA CUNHA)
105,ASSENT IÊDA BARRADAS (ANTÔNIO CARDOSO)
106,ASSENTAMENTO CORUMBAU (POV PRADO)
107,AURELINO LEAL
108,AURORA (POV OUROLÂNDIA)
109,AV AMARÍLIO THIAGO DOS SANTOS (LAURO DE FREITAS)
110,AV AMÉLIA AMADO (ITABUNA)
111,AV ANITA GARIBALDI (SALVADOR)
112,AV ANTÔNIO CARLOS MAGALHÃES (SALVADOR)
113,AV BARROS REIS (SALVADOR)
115,AV BEIRA MAR (LAURO DE FREITAS)
116,AV BONOCÔ (SALVADOR)
117,AV BRASIL (DIAS D'ÁVILA)
118,AV CARDEAL DA SILVA (SALVADOR)
119,AV CENTENÁRIO (SALVADOR)
120,AV COMERCIAL (CAMAÇARI)
121,AV DA FRANÇA (SALVADOR)
122,AV DORIVAL CAYMMI (SALVADOR)
123,AV DOUTOR JOÃO VARGENS (CAMACÃ)
124,AV ELMO SEREJO FARIAS (SIMÕES FILHO)
125,AV ENG WALTER ARAGÃO DE SOUZA (SIMÕES FILHO)
126,AV FORTALEZA (LAURO DE FREITAS)
127,AV FRANÇA (SALVADOR)
128,AV GARCIA D'ÁVILA (DIAS D'ÁVILA)
129,AV GETÚLIO VARGAS (CAMAÇARI)
130,AV GETÚLIO VARGAS (FEIRA DE SANTANA)
131,AV ILHÉUS (ITABUNA)
132,AV IMBASSAY (DIAS D'ÁVILA)
133,AV JEQUITAIA (SALVADOR)
134,AV JOANA ANGÉLICA (DIAS D'ÁVILA)
135,AV JURACY MAGALHÃES (DIAS D'ÁVILA)
136,AV LAURO DE FREITAS (DIAS D'ÁVILA)
137,AV LESTE (CAMAÇARI)
138,AV LUÍS EDUARDO MAGALHÃES (SALVADOR)
139,AV LUIZ TARQUÍNIO (LAURO DE FREITAS)
140,AV MANOEL DIAS DA SILVA (SALVADOR)
141,AV OCTÁVIO MANGABEIRA (SALVADOR)
142,AV OSCAR PONTES (SALVADOR)
143,AV PARALELA (SALVADOR)
144,AV PARQUE DAS DUNAS (CAMAÇARI)
145,AV PITANGUEIRAS (LAURO DE FREITAS)
146,AV PÓLO EMPRESARIAL (CAMAÇARI)
147,AV PROF PINTO DE AGUIAR (SALVADOR)
148,AV RADIAL A (CAMAÇARI)
149,AV RAUL SEIXAS (DIAS D'ÁVILA)
150,AV RIO BANDEIRA (CAMAÇARI)
151,AV RUI BARBOSA (SIMÕES FILHO)
152,AV SAN MARTIN ( SALVADOR)
153,AV SANTOS DUMOND (LAURO DE FREITAS)
154,AV SÃO CRISTÓVÃO (LAURO DE FREITAS)
155,AV SÃO CRISTÓVÃO (SALVADOR)
156,AV SETE DE SETEMBRO (SALVADOR)
157,AV SUBURBANA (SALVADOR)
159,AV TIRADENTES (CAMAÇARI)
160,AV VASCO DA GAMA (SALVADOR)
161,AV WASHINGTON LUIZ (SIMÕES FILHO)
162,BA093
163,BA210
164,BA270
165,BA504
166,BA522
167,BA522 / ENT CANDEIAS
168,BA523
169,BA526
170,BA528
171,BA530
172,BA530 / ACESSO À CETREL
173,BA678
174,BABILÔNIA (POV LAPÃO)
175,BAIACU (VERA CRUZ)
176,BAIANÓPOLIS
177,BAIXA ALEGRE (POV JITAÚNA)
178,BAIXA DO ARROZ  (FAZ SÃO DESIDÉRIO)
179,BAIXA DO FISCAL (SALVADOR)
180,BAIXA GRANDE
181,BAIXA GRANDE (POV ENTRE RIOS)
182,BAIXA JOSÉ FÉLIX (POV OUROLÂNDIA)
183,BAIXÃO (DIST JEQUIÉ)
184,BAIXÃO (POV PARIPIRANGA)
185,BAIXIO (POV ESPLANADA)
186,BALANÇA (TEIXEIRA DE FREITAS)
188,BAMBORIL (SÁTIRO DIAS)
189,BANCO CENTRAL (DIST ILHÉUS)
190,BANCO DA VITÓRIA (DIST ILHÉUS)
191,BANCO DE AREIA (POV SÃO SEBASTIÃO DO PASSÉ)
192,BANCO DO PEDRO (POV ILHÉUS)
193,BANDEIRA DE MELO (POV ITAETÊ)
194,BANDEIRA DO ALMADA (DIST ITAJUÍPE)
195,BANDEIRANTES (CARAVELAS)
196,BANDIAÇU (POV CONCEIÇÃO DO COITÉ)
197,BANZAÊ
198,BARAÚNA (FAZ MIRANTE)
199,BARAUNA (POV SENHOR DO BONFIM)
200,BARAÚNAS (POV SEABRA)
201,BARCELONA (DIST MEDEIROS NETO)
202,BARRA
203,BARRA (FAZ IPECAETÁ)
204,BARRA (SALVADOR)
205,BARRA DA ESTIVA
206,BARRA DE ÁGUA FRIA (ÁGUA FRIA)
207,BARRA DO CHOÇA
208,BARRA DO FURADO (POV CÂNDIDO SALES)
209,BARRA DO ITARIRI (DIST CONDE)
210,BARRA DO JACUÍPE (DIST CAMAÇARI)
211,BARRA DO MENDES
212,BARRA DO POJUCA (DIST CAMAÇARI)
213,BARRA DO RIACHÃO (RIACHÃO DAS NEVES)
214,BARRA DO ROCHA
215,BARRA DO TARRACHIL (DIST CHORROCHÓ)
216,BARRA GRANDE (POV MARAÚ)
217,BARRA GRANDE (VERA CRUZ)
218,BARRA NOVA (DIST BARRA DO CHOÇA)
219,BARRA NOVA (POV GUARATINGA)
220,BARRA VELHA (PORTO SEGURO)
221,BARRAGEM  (POV CASA NOVA)
222,BARRAJADO (APORÁ)
223,BARREIRAS
224,BARREIRO (POV CANAVIEIRAS)
225,BARRINHA (POV JAGUARARI)
226,BARRO ALTO
227,BARRO PRETO
228,BARRO VERMELHO (VEREDA)
230,BARROCAS
231,BARROLÂNDIA (DIST BELMONTE)
232,BATE-PÉ (DIST VITÓRIA DA CONQUISTA)
233,BATUQUE (POV VITÓRIA DA CONQUISTA)
234,BAZUA (POV SENTO SÉ)
235,BEIRA RIO (POV OLIVEIRA DOS BREJINHOS)
236,BELA VISTA (POV NOVA VIÇOSA)
237,BELÉM (DIST CACHOEIRA)
238,BELMONTE
239,BELO CAMPO
240,BELO CAMPO (POV LAPÃO)
241,BENDEGÓ (POV CANUDOS)
242,BENFICA (FAZ IPECAETÁ)
243,BICA DA SERRA (POV CAATIBA)
244,BIRIBEIRA (MATA DE SÃO JOÃO)
245,BIRITINGA
246,BOA ESPERANÇA (FAZ CAETANOS)
247,BOA ESPERANÇA (FAZ SANTALUZ)
248,BOA ESPERANÇA (POV LAPÃO)
249,BOA HORA (POV RIBEIRA DO AMPARO)
250,BOA NOVA
251,BOA SENTENÇA (POV RIO DE CONTAS)
252,BOA SORTE (FAZ ITACARÉ)
253,BOA UNIÃO (DIST ALAGOINHAS)
254,BOA VISTA DO TAPERA (POV ENCRUZILHADA)
255,BOA VISTA DO TUPIM
256,BOCA DA MATA (SALVADOR)
257,BOCA DO CÓRREGO (DIST BELMONTE)
258,BOIADEIRA (DIST SANTO ESTEVÃO)
259,BOLANDEIRA (POV AMÉLIA RODRIGUES)
260,BOM DESPACHO
261,BOM JARDIM (POV IBIQUERA)
262,BOM JESUS DA LAPA
263,BOM JESUS DA SERRA
265,BOM JESUS DOS POBRES (DIST SAUBARA)
266,BOM PRAZER (POV LAPÃO)
267,BONFIM (POV ITAPÉ)
268,BONFIM (FAZ ANAGÉ)
269,BONFIM DE MATA (DIST MATA DE SÃO JOÃO)
270,BONINAL
271,BONITO
272,BONZÃO I E II (LAPÃO)
273,BOQUEIRÃO  (POV JUAZEIRO)
274,BOQUIRA
