"cdlinhaquadrohorario","cdlinha","cdlinhaquadrohorariohora","desentido","dediasemana","hrhorario"
7007,1806,388503,IDA,SEG,06:20:00 -0300
7007,1806,388504,IDA,TER,06:20:00 -0300
7007,1806,388505,IDA,QUA,06:20:00 -0300
7007,1806,388506,IDA,QUI,06:20:00 -0300
7007,1806,388507,IDA,SEX,06:20:00 -0300
7007,1806,388508,IDA,SAB,06:20:00 -0300
7007,1806,388509,IDA,DOM,06:20:00 -0300
7007,1806,388510,VOLTA,SEG,05:00:00 -0300
7007,1806,388511,VOLTA,TER,05:00:00 -0300
7007,1806,388512,VOLTA,QUA,05:00:00 -0300
7007,1806,388513,VOLTA,QUI,05:00:00 -0300
7007,1806,388514,VOLTA,SEX,05:00:00 -0300
7007,1806,388515,VOLTA,SAB,05:00:00 -0300
7007,1806,388516,VOLTA,DOM,05:00:00 -0300
7007,1806,388517,IDA,SEG,07:00:00 -0300
7007,1806,388518,IDA,TER,07:00:00 -0300
7007,1806,388519,IDA,QUA,07:00:00 -0300
7007,1806,388520,IDA,QUI,07:00:00 -0300
7007,1806,388521,IDA,SEX,07:00:00 -0300
7007,1806,388522,IDA,SAB,07:00:00 -0300
7007,1806,388523,IDA,DOM,07:00:00 -0300
7007,1806,388524,VOLTA,SEG,05:40:00 -0300
7007,1806,388525,VOLTA,TER,05:40:00 -0300
7007,1806,388526,VOLTA,QUA,05:40:00 -0300
7007,1806,388527,VOLTA,QUI,05:40:00 -0300
7007,1806,388528,VOLTA,SEX,05:40:00 -0300
7007,1806,388529,VOLTA,SAB,05:40:00 -0300
7007,1806,388530,VOLTA,DOM,05:40:00 -0300
7007,1806,388531,IDA,SEG,07:40:00 -0300
7007,1806,388532,IDA,TER,07:40:00 -0300
7007,1806,388533,IDA,QUA,07:40:00 -0300
7007,1806,388534,IDA,QUI,07:40:00 -0300
7007,1806,388535,IDA,SEX,07:40:00 -0300
7007,1806,388536,IDA,SAB,07:40:00 -0300
7007,1806,388537,IDA,DOM,07:40:00 -0300
7007,1806,388538,VOLTA,SEG,06:20:00 -0300
7007,1806,388539,VOLTA,TER,06:20:00 -0300
7007,1806,388540,VOLTA,QUA,06:20:00 -0300
7007,1806,388541,VOLTA,QUI,06:20:00 -0300
7007,1806,388542,VOLTA,SEX,06:20:00 -0300
7007,1806,388543,VOLTA,SAB,06:20:00 -0300
7007,1806,388544,VOLTA,DOM,06:20:00 -0300
7007,1806,388545,IDA,SEG,08:20:00 -0300
7007,1806,388546,IDA,TER,08:20:00 -0300
7007,1806,388547,IDA,QUA,08:20:00 -0300
7007,1806,388548,IDA,QUI,08:20:00 -0300
7007,1806,388549,IDA,SEX,08:20:00 -0300
7007,1806,388550,IDA,SAB,08:20:00 -0300
7007,1806,388551,IDA,DOM,08:20:00 -0300
7007,1806,388552,VOLTA,SEG,07:00:00 -0300
7007,1806,388553,VOLTA,TER,07:00:00 -0300
7007,1806,388554,VOLTA,QUA,07:00:00 -0300
7007,1806,388555,VOLTA,QUI,07:00:00 -0300
7007,1806,388556,VOLTA,SEX,07:00:00 -0300
7007,1806,388557,VOLTA,SAB,07:00:00 -0300
7007,1806,388558,VOLTA,DOM,07:00:00 -0300
7007,1806,388559,IDA,SEG,09:00:00 -0300
7007,1806,388560,IDA,TER,09:00:00 -0300
7007,1806,388561,IDA,QUA,09:00:00 -0300
7007,1806,388562,IDA,QUI,09:00:00 -0300
7007,1806,388563,IDA,SEX,09:00:00 -0300
7007,1806,388564,IDA,SAB,09:00:00 -0300
7007,1806,388565,IDA,DOM,09:00:00 -0300
7007,1806,388566,VOLTA,SEG,07:40:00 -0300
7007,1806,388567,VOLTA,TER,07:40:00 -0300
7007,1806,388568,VOLTA,QUA,07:40:00 -0300
7007,1806,388569,VOLTA,QUI,07:40:00 -0300
7007,1806,388570,VOLTA,SEX,07:40:00 -0300
7007,1806,388571,VOLTA,SAB,07:40:00 -0300
7007,1806,388572,VOLTA,DOM,07:40:00 -0300
7007,1806,388573,IDA,SEG,09:40:00 -0300
7007,1806,388574,IDA,TER,09:40:00 -0300
7007,1806,388575,IDA,QUA,09:40:00 -0300
7007,1806,388576,IDA,QUI,09:40:00 -0300
7007,1806,388577,IDA,SEX,09:40:00 -0300
7007,1806,388578,IDA,SAB,09:40:00 -0300
7007,1806,388579,IDA,DOM,09:40:00 -0300
7007,1806,388580,VOLTA,SEG,08:20:00 -0300
7007,1806,388581,VOLTA,TER,08:20:00 -0300
7007,1806,388582,VOLTA,QUA,08:20:00 -0300
7007,1806,388583,VOLTA,QUI,08:20:00 -0300
7007,1806,388584,VOLTA,SEX,08:20:00 -0300
7007,1806,388585,VOLTA,SAB,08:20:00 -0300
7007,1806,388586,VOLTA,DOM,08:20:00 -0300
7007,1806,388587,IDA,SEG,10:20:00 -0300
7007,1806,388588,IDA,TER,10:20:00 -0300
7007,1806,388589,IDA,QUA,10:20:00 -0300
7007,1806,388590,IDA,QUI,10:20:00 -0300
7007,1806,388591,IDA,SEX,10:20:00 -0300
7007,1806,388592,IDA,SAB,10:20:00 -0300
7007,1806,388593,IDA,DOM,10:20:00 -0300
7007,1806,388594,VOLTA,SEG,09:00:00 -0300
7007,1806,388595,VOLTA,TER,09:00:00 -0300
7007,1806,388596,VOLTA,QUA,09:00:00 -0300
7007,1806,388597,VOLTA,QUI,09:00:00 -0300
7007,1806,388598,VOLTA,SEX,09:00:00 -0300
7007,1806,388599,VOLTA,SAB,09:00:00 -0300
7007,1806,388600,VOLTA,DOM,09:00:00 -0300
7007,1806,388601,IDA,SEG,11:00:00 -0300
7007,1806,388602,IDA,TER,11:00:00 -0300
7007,1806,388603,IDA,QUA,11:00:00 -0300
7007,1806,388604,IDA,QUI,11:00:00 -0300
7007,1806,388605,IDA,SEX,11:00:00 -0300
7007,1806,388606,IDA,SAB,11:00:00 -0300
7007,1806,388607,IDA,DOM,11:00:00 -0300
7007,1806,388608,VOLTA,SEG,09:40:00 -0300
7007,1806,388609,VOLTA,TER,09:40:00 -0300
7007,1806,388610,VOLTA,QUA,09:40:00 -0300
7007,1806,388611,VOLTA,QUI,09:40:00 -0300
7007,1806,388612,VOLTA,SEX,09:40:00 -0300
7007,1806,388613,VOLTA,SAB,09:40:00 -0300
7007,1806,388614,VOLTA,DOM,09:40:00 -0300
7007,1806,388615,IDA,SEG,11:40:00 -0300
7007,1806,388616,IDA,TER,11:40:00 -0300
7007,1806,388617,IDA,QUA,11:40:00 -0300
7007,1806,388618,IDA,QUI,11:40:00 -0300
7007,1806,388619,IDA,SEX,11:40:00 -0300
7007,1806,388620,IDA,SAB,11:40:00 -0300
7007,1806,388621,IDA,DOM,11:40:00 -0300
7007,1806,388622,VOLTA,SEG,10:20:00 -0300
7007,1806,388623,VOLTA,TER,10:20:00 -0300
7007,1806,388624,VOLTA,QUA,10:20:00 -0300
7007,1806,388625,VOLTA,QUI,10:20:00 -0300
7007,1806,388626,VOLTA,SEX,10:20:00 -0300
